"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"RDTE","","","","2024","2024","","","0602147A","ARMY INCREASES
","24","25","02","060","Funds are required to be realigned to the Research, Development, Test, and Evaluation, Army; 24/25, appropriation from the Research, Development, Test, and Evaluation, Defense-Wide, 24/25, — appropriation for the proper execution of a Fiscal Year (FY) 2024 congressional increase for Advanced Manufacturing of Energetic Materials. This action does not change the purpose for which the funds were originally appropriated. This isa congressional special interest item.","24-50_IR_July_2024_signed_20240807.pdf"
"","","","","2024","2024","03","Electronics and Telecommunications Equip","0603456F","AIR FORCE INCREASES
","24","26","03","103,945","Funds are required to be realigned within the Other Procurement, Air Force, 24/26, appropriation to line item 837300 (Base Comm Infrastructure) from line item 837190 (Radio Equipment) for proper execution of a FY 2024 congressional increase for future pilot training center beddown (ELMR). This action does not change the purpose for which the funds were originally appropriated. This is a congressional special interest item.","24-50_IR_July_2024_signed_20240807.pdf"
"RDTE","","","","2024","2024","03","Advanced technology development","0603002A","ARMY DECREASES
","24","25","03","060","Funds are available to be realigned within the Research, Development, Test, and Evaluation,","24-50_IR_July_2024_signed_20240807.pdf"
"","","","","2024","2024","03","Electronics and Telecommunications Equip","0602202F","AIR FORCE DECREASES
","24","26","03","31,607","Funds are realigned within Other Procurement, Air Force, 24/26, appropriation from line item 837190 (Radio Equipment) to line item 837300 (Base Comm Infrastructure) for proper execution of a FY","24-50_IR_July_2024_signed_20240807.pdf"
"RDTE","","","","2024","2024","02","Applied Research","","DEFENSE-WIDE DECREASE
","24","25","02","060","Funds are available to be realigned from the Research, Development, Test, and Evaluation,","24-50_IR_July_2024_signed_20240807.pdf"
