"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"RDTE","","","","2024","2024","07","Operational system development","","AIR FORCE INCREASE
","24","25","07","999","Funds are required for classified effort. This is a Military Intelligence Program Project. Additional classified details will be provided under separate cover.","25-22_IR_December_2024.pdf"
"RDTE","","","Air Force","2025","2022","06","Management support","","DEFENSE-WIDE DECREASE
","24","25","06","060","Funds are available to be transferred from the Research, Development, Test, and Evaluation,","25-22_IR_December_2024.pdf"
