"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","","","","","","Unclassified REPROGRAMMING ACTION - PRIOR APPROVAL
","399,208","24","24","79,148","-","24-13_PA_FCF_D_v2_signed_20240722.pdf"
"Operation and Maintenance","","","","","","01","Pay and allowances of officers","","","24","24","01","9,998,222","-","24-13_PA_FCF_D_v2_signed_20240722.pdf"
"","","","Navy","2024","2013","","","","Yes
","24","24","01","1","-","24-13_PA_FCF_D_v2_signed_20240722.pdf"
"Operation and Maintenance","","","","2024","2013","04","Administration and Servicewide Activities","","Defense Security Cooperation Agency
","64,875","24","24","31,901","Funds are required to finance foreign currency losses resulting from rate revisions based upon congressional adjustments in the appropriation bill.","24-13_PA_FCF_D_v2_signed_20240722.pdf"
