"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","","","01","Reserve Comp onent Training and Support","","","14","14","230","01","-","14-07_IR_December_2013_Request.pdf"
"","","","Army","2014","2007","01","Reserve Component Training and Support","","UNCLASSIFIED
","560","14","14","365","-","14-07_IR_December_2013_Request.pdf"
"","","","Army","2014","2014","01","Reserve Component Training and Support","","","14","14","01","14","-","14-07_IR_December_2013_Request.pdf"
"Operation and Maintenance","","","Navy","","","","","","","14","14","1,316","1,316","This action transfers funds from the Operation and Maintenance, Defense-Wide, 14/14,","14-07_IR_December_2013_Request.pdf"
