"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Procurement","","","","","","","","0602786A","Unclassified
","10","12","2","198,084","‘This action realigns funds within ‘Other Procurement; Army, 10/ 12, , appropriation for’ Tactical/Crew Served: ‘Weapon: Illumination. Systems. for-proper: execution. This:is:a: congressional. special: interest item.","10-23_IR_April_2010_Request.pdf"
"Procurement","","","","2010","2023","","","0401218F","SEAENER WIDEINC INCREASES","10","12","5","130","The:action reflects the:following: adjustments for proper:execution.. These:are: congressional: ‘special interest items. e: ‘Realigns:$5:660.million:within the:Aircraft Procurement, Air Force,, 10/ 12, appropriation. for ‘the.C=130'Mods: ‘program. ‘Transfers:$2.4 million fromthe Research, ‘Development, ‘Test,-and Evaluation,‘Air Force;. 10/11, appropriation: to the Aircraft Procurement, Air Force,.10/12, appropriation to: ‘support ‘the Senior Scotit Communications: Intelligence: (COMINT) Capability.. This is‘a MIP:","10-23_IR_April_2010_Request.pdf"
