"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Operation and Maintenance","","","","2023","2023","04","Administration and Service-wide Activities","","Ukraine Replacement Transfer Fund
","168,873","23","24","168,873","Funds provided from multiple internal reprogramming actions are transferred back to the Operation and Maintenance, Defense-Wide, 23/24, appropriation. This is a congressional special interest item and an emergency budget requirement. FY 2023 REPROGRAMMING DECREASES: -168,873","24-31_IR_May_Ukraine_Traunche_Return.pdf"
"Procurement","","","Defense-Wide","2024","2031","","","","Li dd Wo trl
","168,873","141","5","3","Funds are available and returned from Ukraine Replacement Tranche #13 due to contract savings because costs to procure items were less than originally estimated. This is a congressional special interest item and an emergency budget requirement.","24-31_IR_May_Ukraine_Traunche_Return.pdf"
