"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","","","01","Reserve Component Training and Support","","NAVY INCREASES
","20","20","01","2,132,987","-","20-24_IR_March_2020_Request.pdf"
"","","","Navy","2020","2024","01","Reserve Component Training and Support","","AIR FORCE INCREASES
","20","20","01","2,035,748","-","20-24_IR_March_2020_Request.pdf"
"Operation and Maintenance","","","Air Force","","","04","Administration and Servicewide Activities","","DEFENSE-WIDE DECREASE
","20","20","04","254,544","Transfers funds from the Operation and Maintenance, Defense-Wide, 20/20, appropriation to the National Guard and Reserve Personnel appropriations to execute the Department’s Civil Military Program. The funds will finance costs associated with the Reserve Components’ Active Duty Training (ADT), travel and applicable statutory allowances, and will provide support and services to eligible","20-24_IR_March_2020_Request.pdf"
