"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2010","2030","","","0604802A","ARMY INCREASES
","141","523","2","10","This, action. transfers funds from: the. Research, h, Development, Test, and. Evaluation;:","10-30_IR_June_2010_Request.pdf"
"RDTE","","","","2010","2030","","","0408011F","","10","11","040","801","“This:action transfers: funding to the DHP,-Research, Development, ‘Test; arid —","10-30_IR_June_2010_Request.pdf"
