"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2022","2004","","","","Yes","22","22","01","22","-","22-04_IR_October_2021_Request.pdf"
"","","","Navy","2022","2022","01","Reserve Component Training and Support","","AIR FORCE INCREASES
","22","22","01","22","-","22-04_IR_October_2021_Request.pdf"
"Operation and Maintenance","","","Navy","","","04","Administration and Servicewide Activities","","DEFENSE-WIDE DECREASE
","22","22","04","46,394","This action transfers funds from the Operation and Maintenance, Defense-Wide, 22/22, appropriation to various appropriations to execute the Department’s Civil Military Program. The funds will finance costs associated with the Reserve Components’ Active Duty for Training (ADT), travel and applicable statutory allowances, and will provide support and services to eligible organizations and activities outside the Department of Defense pursuant to section 2012 of Title 10, United States Code. This is base budget funding.","22-04_IR_October_2021_Request.pdf"
