"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","","","01","Reserve Component Training and Support","","","570","18","18","435","-","18-05_IR_December_2017_Request.pdf"
"","","","Army","2018","2005","01","Reserve Component Training and Support","","Qo
","18","18","01","300","-","18-05_IR_December_2017_Request.pdf"
"","","","Army","2018","2018","01","Reserve Component Training and Support","","","18","18","01","201","-","18-05_IR_December_2017_Request.pdf"
"Operation and Maintenance","","","Army","2017","2017","","","","PART If","18","18","1,046","18","This action transfers funds from the Operation and. Maintenance, Defense-Wide, 18/18,","18-05_IR_December_2017_Request.pdf"
"RDTE","","","Air Force","2018","2005","04","Advanced Component Development and Prototy}","0603261N","Program Base Reflecting Program Previously ing Acti

LS
","17","18","04","060","Funds ate realighed within the Research, Development, Test, aid Evaluation, Navy, 17/18, appropriation to PE 0603261N Tactical Airborne Reconnaissance from PE 0603216N Aviation Survivability for enhanced mission Intelligence, Surveillance, and Reconnaissance performance for proper execution:","18-05_IR_December_2017_Request.pdf"
"RDTE","","","","","","","","0603261N","","9,672","5,146","17","18","Funds are realigned within the Research, Development, Test, and Evaluation, Navy; 17/18, | appropriation to PE 0603261N Tactical Airborne Reconnaissance from PE 0603216N Aviation Survivability | for enhanced mission Intelligence, Surveillance, and Reconnaissance performance. for proper execution.","18-05_IR_December_2017_Request.pdf"
