"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2019","2019","05","Spares and Repair Parts","0605830F","Yes
","10","27","19","21","Funds are required to procure spares associated with funding appropriated in the FY 2019 Appropriations Bill for Air National Guard Joint Threat Emitters. Congress added $40.0 million in the Combat Training Ranges budget line to procure six Joint Threat Emitters; however, $6.4 million of that funding is required for spares support. This is a congressional special interest.item. This is a base budget requirement.","19-15_IR_April_2019_Request.pdf"
"","","","","2019","2019","03","Electronics and Telecommunications Equip","0605830F","Yes","10","27","19","21","Funds are available because they were appropriated as part of the FY 2019 $40.0 million congressional add for Air National Guard (ANG) Joint Threat Emitters. Upon further analysis, it was identified that $6.4 million of the funding is needed to support spares for the Joint Threat Emitters. Spares are more appropriately executed in the Spares and Repair Parts budget line item. This is a congressional special interest item. This is base budget funding.","19-15_IR_April_2019_Request.pdf"
