"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2023","2049","","","","Approved (Signature: and Date)","7,818","23","23","2","Funds:are:required to support the mission ‘of Joint‘ Task Force;- Red Hill (TF. -RH), to,execute: the'safe defueling of the Red Hill Bull.Fuél Storage Facility. (RHBFSF). ‘The JTF-RH requires 30 Enlisted, ‘Hawaii Army’ ‘National Guardsmen for ‘escort duties: ‘of.contractors: petforming: défieling: and:maintenance tasks for six months: ‘Regiiiremients include:","23-49_IR_Red_Hill_Recovery_Fund_IR_Tranche_1.pdf"
"","","","","2023","2023","","","","Unclassified
","104,927","23","23","100,927","‘Furids‘are: required to:supportfor the ‘ongoing’ ‘support: of fainilies.atid: Fesidents; ongoing efforts:to:maintain safe drinkirig: watér-which: include ‘operations of GAC filtration'systenis;. Awater’ monitoring and testing; ; ongoing’ ‘efforts for: ‘aquifer’ récovery incliidirig: aboratory; remediation; :and modelirig; ‘and inereased civilian personnel. and: ‘support:costs:for these: community, water.and,aquifer:efforts, Funds.are:also required for Joint Task: Fotcé Red Hill’s: support:costs‘in: defueling the. RHBFSFas Well, as","23-49_IR_Red_Hill_Recovery_Fund_IR_Tranche_1.pdf"
"","","","","","","01","Operation & Maintenance oo | Oo","","","345","864","23","23","Funds-are:required:in the-following:programs::","23-49_IR_Red_Hill_Recovery_Fund_IR_Tranche_1.pdf"
