"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2023","2026","04","Administration and Service-Wide Activities HO","","Approved (Signature and Date)","23","23","22,978","04","Funds-are ‘required for the reimbursement of defense services required to prepare various: equipment. for movement via air or sea transportation, and transportation of equipment transferred to Ukraine ‘in support'of the international éffort:to counter Russian aggression. This is a congressional special interest item. This is an emergency budget requirement:","23-26_IR_Ukraine_Replacement_Tranfer_Fund_Tranche_11_Implemented.pdf"
"Operation and Maintenance","","","","2023","2026","01","Operating Forces","","DEFENSE-WIDE INCREASES
","23","23","01","9,868,144","Funds are required for the following: © +0.979 million for the procurement of replacement of body armor, helmets, and other equipment","23-26_IR_Ukraine_Replacement_Tranfer_Fund_Tranche_11_Implemented.pdf"
"Operation and Maintenance","","","","2023","2023","04","Administration and Servicewide Activities","","DEFENSE-WIDE DECREASES
","23","22","23","39,301","Funds are available from the Operation and Maintenance, Defense-Wide, 22/23, appropriation for the replacement of defense articles from the stocks of the Department of Defense, and for reimbursement for defense services of the Department of Defense and military education and training provided to the Government of Ukraine or to foreign countries that have provided support to Ukraine at the request of the United States. This is emergency budget funding.","23-26_IR_Ukraine_Replacement_Tranfer_Fund_Tranche_11_Implemented.pdf"
"Procurement","","","Defense-Wide","2023","2026","02","Proc Ammo, MC","","Direct Support Munitions","405,761","23","25","201,922","Funds are required for the procurement of replacement direct support munitions transferred to Ukraine in support of the international effort to counter Russian aggression. This is a congressional special interest item. This is an emergency budget requirement.","23-26_IR_Ukraine_Replacement_Tranfer_Fund_Tranche_11_Implemented.pdf"
"Operation and Maintenance","","","","2023","2026","01","Operating Forces","","Yes
","275","778","270,907","23","Funds are required for the reimbursement of defense services required to prepare various equipment for movement via air or sea transportation, and the packaging and transportation of helmets, body armor, ammunition and other equipment transferred to Ukraine in support of the international effort to counter Russian aggression. This is a congressional special interest item. This is an emergency budget requirement","23-26_IR_Ukraine_Replacement_Tranfer_Fund_Tranche_11_Implemented.pdf"
"Operation and Maintenance","","","","2023","2026","04","Administration and Servicewide Activities","","Yes","681,539","676,668","23","24","Funds are available from the Operation and Maintenance, Defense- Wide, 23/24, appropriation for the replacement of defense articles from the stocks of the Department of Defense, and for reimbursement for defense services of the Department of Defense and military education and training provided to the","23-26_IR_Ukraine_Replacement_Tranfer_Fund_Tranche_11_Implemented.pdf"
