"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Operation and Maintenance","","","","2023","2058","01","Op erating Forces . -","","Approved (Signature and Date)","285,929","23","23","7,529","Funds : are. required for the reimbursement of spare parts, services, and depot maintenance provided to ‘Ukraine in: ‘support of the’ international. éffort to counter Russian aggression. This‘is.a. ‘congressional special interest item. This‘is an. emergency budget requirement.","23-58_IR_Tranche_14_Encl_1.pdf"
"Operation and Maintenance","","","","","","","","","Ukraine Replacement Transfer Fund -","285,929","22","23","285,929","Funds are available from the Operation and Maintenance, Defense-Wide, 22/23, appropriation ‘for the replacement of defense articles from the stocks of the Department of Defense, and for reimbursement | for defense services of the Department of Defense and military education and training provided to the","23-58_IR_Tranche_14_Encl_1.pdf"
