"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"RDTE","","","","2022","2022","04","Advanced Component Development and Prototypes","","DEFENSE-WIDE INCREASE
","22","23","04","060","Funds are required for proper execution of field-based airborne power generation systems research. Funding for this requirement was appropriated in Research, Development, Test, and Evaluation,","23-10_IR_Field-Based_Airborne_Power_Generation_Systems_Internal_Reprogramming.pdf"
"RDTE","","","Defense-Wide","","","07","Operational Systems Development","0206624M","NAVY DECREASE
","22","23","07","020","Funds are available from a congressional add enacted as part of the DoD Appropriations Act, 2022 for field-based airborne power generation systems. This requirement is more properly executed in Research, Development, Test, and Evaluation, Defense-Wide. This action does not change the purpose for which the funds were originally appropriated. This is a congressional special interest item.","23-10_IR_Field-Based_Airborne_Power_Generation_Systems_Internal_Reprogramming.pdf"
