"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Procurement","","","","2023","2075","01","Ammunition","","Artillery Projectile rounds transferred to Ukraine in support of the international effort to counter Russian","705,716","23","25","705,716","Funds are required for the procurement of replacement M795 High Explosive (HE) 155MM Artillery Projectile rounds transferred to Ukraine in support of the international effort to counter Russian aggression. This is a congressional special interest item. This is an emergency budget requirement.","23-75_IR_Ukraine_Replacement_Transfer_Fund_Tranche_18.pdf"
"Procurement","","","","2023","2075","02","Proc Ammo, MC","","Artillery Munitions
","143","897","23","25","Funds are required for the procurement of various Artillery Munitions to Ukraine in support of the international efforts to counter Russian aggression. This is a congressional special interest item. This is an emergency budget requirement.","23-75_IR_Ukraine_Replacement_Transfer_Fund_Tranche_18.pdf"
"Operation and Maintenance","","","Navy","","","04","Administration and Servicewide Activities","","Ukraine Replacement Transfer Fund
","849","613","23","24","Funds are available from the Operation and Maintenance, Defense-Wide, 23/24, appropriation for replacement of defense articles from the stocks of the Department of Defense and for facilitization and obsolescence efforts to accelerate the production of replacement items for defense articles or commodities under drawdown authority. This is emergency budget funding.","23-75_IR_Ukraine_Replacement_Transfer_Fund_Tranche_18.pdf"
