"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Missile Procurement","","","","2022","2038","","","","I
","339,329","22","24","339,329","Funds are required for the following efforts:","FY22-38_IR_Ukraine_Replacement_6_signed_20220802.pdf"
"Operation and Maintenance","","","","","","","","","","339,329","22","23","339,329","Funds are available from the Operation and Maintenance, Defense-Wide, 22/23, appropriation ito transfer to Missile Procurement, Army for the replacement of defense articles from the stocks of the |'Department of Defense, and for reimbursement for defense services of the Department of Defense and military education and training provided to the Government of Ukraine or to foreign countries that have provided support to Ukraine at the request of the United States. This is emergency budget funding.","FY22-38_IR_Ukraine_Replacement_6_signed_20220802.pdf"
