"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2023","2027","","","","Yes
","1,921,695","23","23","326,200","Funds are required for the following:","23-27_IR_Ukraine_Replacement_Transfer_Fund_Tranche_12.pdf"
"Operation and Maintenance","","","","2023","2023","","","","PART II","71,921,695","22","23","1,921,695","Funds are available from the Operation and Maintenance, Defense-Wide, 22/23, appropriation ; for the replacement of defense articles from the stocks of the Department of Defense, and for reimbursement | for defense services of the Department of Defense and military education and training provided to the |","23-27_IR_Ukraine_Replacement_Transfer_Fund_Tranche_12.pdf"
"Procurement","","","Defense-Wide","2023","271","01","Ammunition","","Family Of Heavy Tactical Vehicles (FHTV)","23","25","01","134,714","Funds are required for the procurement of replacement mines and clearing charges transferred to Ukraine in support of the international effort to counter Russian aggression. This is a congressional special interest item. This is an emergency budget requirement.","23-27_IR_Ukraine_Replacement_Transfer_Fund_Tranche_12.pdf"
"","","","","2023","2027","","","","MESHORAD eer","2,558,309","23","25","818,000","Funds are required for the procurement of Maneuver-Short Range Air Defense (M-SHORAD) | systems, as the current Army replacement for AN/TWQ-1 Avengers transferred to Ukraine in support of the international effort to counter Russian aggression. This is a congressional special interest item. This is an emergency budget requirement.","23-27_IR_Ukraine_Replacement_Transfer_Fund_Tranche_12.pdf"
"","","","","2023","2027","","","","Ukraine Replacement Transfer-Fund
","2,558,309","2,558,309","04","11,880,000","Funds are available from the Operation and Maintenance, Defense-Wide, 23/24, appropriation ']| | for the replacement of defense articles from the stocks of the Department of Defense, and for reimbursement for defense services of the Department of Defense and military education and training provided to the Government of Ukraine or to foreign countries that have provided support to Ukraine at the request of the || United States. This is emergency budget funding.","23-27_IR_Ukraine_Replacement_Transfer_Fund_Tranche_12.pdf"
