"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2024","2047","01","_Operating Forces","","Classified Requirement","1,880,302","24","24","56,376","Funds are required for the reimbursement of depot maintenance and defense services provided to Ukraine in support of the international effort to counter Russian aggression. This is a congressional special interest item. This is an emergency budget requirement.","24-47_IR_Ukraine_Tranche_23.pdf"
"Operation and Maintenance","","","","","","04","Administration. and Servicewide Activities.","","","1,880,302","24","25","71,880,302","Funds are available from the Operation and Maintenance, Defense-Wide, 24/25, appropriation","24-47_IR_Ukraine_Tranche_23.pdf"
