"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2009","2008","","","0602624A","ARMY INCREASES
","5","0","9","091","“The: action’ i transfers funds from the Operation and vial, Venice A Amy; 9 09109,","09-08_IR_December_2008_Request.pdf"
"Procurement","","","","2009","2009","","","0603720S","Physical Secutity Systems a","13,583","09","11","30","‘This action transfers furids from the: Operation and ‘Maintenance, ‘Defense-Wide, 09/09,. appropriation’ to the Procurement; Defense-Wide; 09/11, appropriation, to: purchase: equipment for: proper « execution: ‘This isa. ‘congressional special. interest item.","09-08_IR_December_2008_Request.pdf"
"RDTE","","","","","","","","0602015F","AIR FORCE DECREASES
","3","09","09","09","‘This:action: transfers funds for the. Engineering: Training: and: Knowledge Preservation System to:the'Research,, Development, Test;.and Evaluation, Air Force, 09/ 10; appropriation from","09-08_IR_December_2008_Request.pdf"
"","","","","2009","2008","","","","DEFENSE-WIDE DECREASES
","09","09","09","09","‘This: action tratisfers furids ‘for Commercial: ‘Technology: for Maintenance.Activities: froni the Opetation, and Maintenance, Defense-Wide,.09/09, appropriation: to. the:Research; Development, Test, and Evaluation, Defense-Wide; 09/. 10;. appropriation: for proper execution. This: isa congressional. special interest.item.","09-08_IR_December_2008_Request.pdf"
