"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2019","2019","05","Permanent Change of Station","","Yes
Component Serial Number (Amounts in Thousands of Dollars)","37","7,318","236.400","19","Funds are required for the following activities: © $+3.5 million for 1,331 additional enlisted accession moves due to higher than forecasted accessions","19-13_PA_September_2019_Request_12_18_19.pdf"
"","","","","2019","2013","01","Major Equipment","","DEFENSE-WIDE INCREASE
","19","21","2,670","01","Funds are required for a classified effort. Additional classified details will be provided under a separate cover. This is a base budget requirement.","19-13_PA_September_2019_Request_12_18_19.pdf"
"","","","Defense-Wide","2019","2019","02","Pay and Allowances of Enlisted","","HAC Defers and SAC Denied
","184,000","150,000","19","19","Funds are available in enlistment incentives due to a reduction in the number of projected recruitment contracts written with bonus options compared to prior year execution. The Army has a lower requirement to offer quick-ship bonuses to new recruits in conjunction with efforts to improve participation levels in the Delayed Enlistment Program (DEP). This is base budget funding.","19-13_PA_September_2019_Request_12_18_19.pdf"
"","","","","2019","2013","01","Pay and Allowances of Officers","","AIR FORCE DECREASES
","19","19","01","9,726,078","Funds are available from the following programs: $-14.78 million in Basic Pay due to the projected underexecution of 175 Reserve Component (RC) Active Duty Operational Support (ADOS) activation workyears. This is base budget funding. $-3.65 million in Retired Pay Accrual due to the projected underexecution of 175 RC ADOS activation workyears. This is base budget funding. $-4.20 million in Basic Allowance for Housing (BAH) due to the projected underexecution of 175 RC ADOS activation workyears. This is base budget funding. $-0.53 million in Basic Allowance for Subsistence (BAS) due to the projected underexecution of 175 RC ADOS activation workyears. This is base budget funding. $-1.71 million in Incentive Pays due to the projected underexecution of 175 RC ADOS activation workyears. This is base budget funding. $-1.13 million in Social Security due to the projected underexecution of 175 RC ADOS activation workyears. This is base budget funding.","19-13_PA_September_2019_Request_12_18_19.pdf"
