"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2024","2024","01","Shipbuilding & Conversion, NAVY, ”","","COLUMBIA Class Submarine
","1,536,200","24","28","1,536,200","Transfers funds from the Shipbuilding and Conversion, Navy 24/28, appropriation into the National Sea-Based Deterrence Fund 24/28 as required by subsection (d) of § 2218a of title 10, United States Code, which states “There shall be deposited in the Fund all funds appropriated to the Department of .","24-12_IR_NSBDF_3.pdf"
"","","","Navy","2024","2012","01","Fleet ballistic missile ships","","Approved (Signature and Date)","71,536,200","24","28","215","Transfers funds from the Shipbuilding and Conversion, Navy 24/28, appropriation into the National Sea-Based Deterrence Fund 24/28 as required by subsection (d) of § 2218a of title 10, United","24-12_IR_NSBDF_3.pdf"
