"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2025","2018","02","Other missiles","","","25","27","02","223,873","Funds are required to procure replacement Javelin missile batteries identified and notified to Congress through this reprogramming action for provision to Taiwan in support of the international effort to | . deter conflict in the Indo-Pacific region. This is a congressional special interest item.","25-18_PA_Taiwan_Replacement_Tranche_4.pdf"
"","","","","2025","2025","","","","AIR FORCE INCREASE
","25","27","02","9","Funds are required to procure replacement AIM-9X Sidewinder missiles identified and ‘notified to Congress through this reprogramming action for provision to Taiwan in support of the linternational effort to deter conflict in the Indo-Pacific region. This is a congressional special interest item.","25-18_PA_Taiwan_Replacement_Tranche_4.pdf"
