"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2023","2046","01","Operatirig Forces .","","","228,622","23","23","80,926","Funds are required for the following:","23-46_IR_Ukraine_Replacement_transfer_fund_Tranche_13_enclosure_2.pdf"
"Operation and Maintenance","","","","2023","2046","","","","Yes
","228,622","22","23","228,622","Funds are. available frorh the Operation and Maintenance, Defense-Wide, 22/23, appropriation | | for the replacement of defense articles from the stocks of the Department of Defense, and for reimbursement | | for defense services of the Department of Defense arid military education and trainirig provided to the | Government of Ukraine or to foreign countries that have provided support to Ukraine at the tequest of the","23-46_IR_Ukraine_Replacement_transfer_fund_Tranche_13_enclosure_2.pdf"
"Missile Procurement","","","","2023","2046","02","Other Missiles","","Yes
","1,904,854","23","25","176,894","Funds are required for the FGM-148 Javelin missile price adjustments supporting the | procurement of replacement missiles transferred to Ukraine in support-of the international effort to counter | Russian aggression. This is a congressional special interest item. This is an.emergency budget requirement. |","23-46_IR_Ukraine_Replacement_transfer_fund_Tranche_13_enclosure_2.pdf"
"Operation and Maintenance","","","","2023","2023","04","Administration and Service-Wide Activities","","","124,639","23","23","124,639","Funds are required for the reimbursement of ‘defense services required to prepare. various equipment for movement via air or sea trarisportation, and transportation of equipment.transferred to Ukraine | | in support of the international effort to counter Russian aggression. This is a congressional special interest litem. This is an emergency budget requirement.","23-46_IR_Ukraine_Replacement_transfer_fund_Tranche_13_enclosure_2.pdf"
"Operation and Maintenance","","","Navy","2023","2046","04","Administration and Servicewide Activities","","Government of Ukraine or to foreign countries that have provided support to Ukraine at the request of the","2,029,493","23","24","2,029,493","Funds are available from the Operation and Maintenance, Defense-Wide, 23/24, appropriation. | | for the replacement.of defense articles from the stocks of the Department of Defense, and for reimbursement | for defense services of the Department of Defense and military education and. training provided to the","23-46_IR_Ukraine_Replacement_transfer_fund_Tranche_13_enclosure_2.pdf"
