"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Operation and Maintenance","","","","2024","2057","","","","No
","18,300","24","25","18,300","Funds provided as part of the September 6, 2024, internal reprogramming action FY 24-57 IR (Israel Security Replacement Transfer Fund Tranche 2) are transferred back to the Operation and \Maintenance, Defense-Wide, 24/25, appropriation. This is a congressional special interest item and an","25-27_IR_Air_Force_and_Missile_Defense_Agency_Israel_Security_Replacement_Transfer_Fund_Return.pdf"
"","","","","2024","2057","03","Electronics and Telecommunications Equip a","","","24","26","24,800","03","Funds are available for return and excess to need due to an error which duplicated the USCENTCOM Automated Multi-mission Spectrum Monitoring requirement in the FY 24-57 Internal ; Reprogramming for Israel Security Replacement Transfer Fund Tranche 2. This is a congressional special interest item. This is an emergency budget item.","25-27_IR_Air_Force_and_Missile_Defense_Agency_Israel_Security_Replacement_Transfer_Fund_Return.pdf"
"RDTE","","","Air Force","2024","2057","","","0603892C","","13,500","24","25","13,500","Funds are available for return because the amount transferred to Missile Defense Agency via FY 24-57 IR (Israel Security Replacement Transfer Fund Tranche 2) was in excess of the required amounts for development of advanced, high fidelity AN/SPY-1 Radar simulations to test system performance and train operators to perform in denied environments observed. This is a congressional special interest item and an emergency budget requirement.","25-27_IR_Air_Force_and_Missile_Defense_Agency_Israel_Security_Replacement_Transfer_Fund_Return.pdf"
