"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2024","2024","","","","I
","35","923,406","35","923,406","Funds are required to procure Blackhawk 60M airframes and associated equipment using the proceeds from sales collected in the amount of $22.811 million. The replacement property is an improved version of the items sold as part of the Blackhawk Exchange and Sales Team (BEST) Program.","24-05_PA_February_2024_signed_20240320.pdf"
"","","","","2022","2022","01","Aircraft","","","22","24","01","60","Funds are required to procure Blackhawk 60M airframes and associated equipment using the","24-05_PA_February_2024_signed_20240320.pdf"
"","","","Army","","","","","","ARMY DECREASE
","22","24","6","60","Funds are available from the sale of sixty (60) obsolete Blackhawk helicopters via the [Blackhawk Exchange and Sales Team (BEST) Program. The transactions were conducted through General Service Administration (GSA), with the transactions occurring from October 2021 through August 2022, totaling $41.541 million.","24-05_PA_February_2024_signed_20240320.pdf"
