"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"RDTE","","","","2024","2049","02","Applied Research","0602123N","NAVY INCREASES
","24","25","02","060","Funds are required to support research efforts for additional operational energy resilience, efficiencies, conservation, and security on Aircraft and Ships.","24-49_IR_Section_2912.pdf"
"Operation and Maintenance","","","","","","01","Operating Forces","","NAVY DECREASES
","23","24","1,269","01","Funds are available from the Operation and Maintenance, Navy, 23/24, appropriation as a result of operational energy costs realized to be transferred to implement additional operational energy resilience, efficiencies, energy conservation, and energy security requirements.","24-49_IR_Section_2912.pdf"
