"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"RDTE","","","","2023","2023","05","System Development and Demonstration","0604818A","ARMY INCREASE
","23","24","05","060","Funds are required to be transferred from the Other Procurement, Army, 23/25, appropriation for the proper execution of an FY 2023 congressional increase for Joint All Domain Command and Control (JADC2) software support and services. The funds will support software enhancements, system integration, cybersecurity support, and configuration management for the Sierra Nevada Corporation Tactical Radio Application eXtension U.S. Army Enterprise License, This does not change the purpose for which the funds were appropriated. This is a congressional special interest item.","24-04_IR_October_2023.pdf"
"RDTE","","","Army","2024","2004","01","Basic Research","0601153N","NAVY INCREASE
","23","24","01","060","Funds are required to be realigned within the Research, Development, Test, and Evaluation,","24-04_IR_October_2023.pdf"
"RDTE","","","","2023","2023","02","Communications and Electronics Equipment","","ARMY DECREASE
","23","25","02","321,261","Funds are available to be transferred to the Research, Development, Test, and Evaluation, Aimy, 23/24, appropriation for the proper execution of an FY 2023 congressional increase for Joint All Domain Command and Control JADC2) software support and services. This does not change the purpose for which the funds were appropriated. This is a congressional special interest item.","24-04_IR_October_2023.pdf"
"RDTE","","","Army","2023","2023","05","System Development & Demonstration","0605013N","NAVY DECREASE
","23","24","05","060","Funds are available to be realigned within the Research, Development, Test, and Evaluation,","24-04_IR_October_2023.pdf"
