"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Operation and Maintenance","","","","2023","2014","04","Administration and Service-wide Activities","","DEFENSE-WIDE INCREASE
","23","24","04","1,500,000","Funds provided as part of the January 18, 2023, internal reprogramming action FY 23-14 IR (Tranche #10 Enclosure #2) are transferred back to the Operation and Maintenance, Defense-Wide, 23/24, appropriation. This is a congressional special interest item and an emergency budget requirement.","24-53_IR_August_Ukraine_Tranche_Return.pdf"
"Operation and Maintenance","","","","2023","2023","04","Administration and Service-wide Activities","","Ukraine Replacement Transfer Fund
","167,501","23","24","167,501","Funds provided are transferred back to the Operation and Maintenance, Defense-Wide, 23/24, appropriation. This is a congressional special interest item and an emergency budget requirement.","24-53_IR_August_Ukraine_Tranche_Return.pdf"
"Missile Procurement","","","Defense-Wide","2023","2027","02","Other missiles","","Classified Requirement
","140,382","23","25","02","Funds are returned as excess due to savings from a lower unit price. This funding was originally transferred to the Army via FY 23-27 IR (Tranche #12) funding. This is a congressional special . interest item and an emergency budget requirement.","24-53_IR_August_Ukraine_Tranche_Return.pdf"
"","","","","2023","2059","02","Special Operations Command","","DEFENSE-WIDE DECREASE
","23","25","02","95,479","Funds are returned as excess due to savings on bulk contract purchases the Combatant Craft Systems budget line item. This funding was originally transferred to Special Operations Command (SOCOM) via FY 23-59 IR (Tranche #14). This is a congressional special interest item and an emergency budget requirement.","24-53_IR_August_Ukraine_Tranche_Return.pdf"
"Missile Procurement","","","Defense-Wide","2024","2036","02","Other missiles","","ARMY DECREASES
","24","26","02","141","Funds are required for classified efforts. Additional classified details will be provided under separate cover. This is a congressional special interest item and an emergency budget requirement.","24-53_IR_August_Ukraine_Tranche_Return.pdf"
