"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Operation and Maintenance","","","","2019","2003","01","Operating Forces","","The Marine Corps is in the process of completing their damage assessment and will have a completed","400,000","19","19","400,000","Funds are required to repair Air Force facilities at Tyndall Air Force Base, Florida, which","19-03_PA_February_2019_Request.pdf"
"Operation and Maintenance","","","","","","04","Administration and Servicewide Activities","","","600,000","19","20","600,000","Funds are available from the Coalition Support Fund due to a lack of claims for reimbursement| from key cooperating nations and the United States' continued suspension of nearly all security assistance to | Pakistan, with limited exceptions allowed for programs that directly support U.S. national security interests.","19-03_PA_February_2019_Request.pdf"
