"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Missile Procurement","","","","2020","2020","","","","Yes
","41,113,085","1","22","24","Funds are required for the procurement of replacement Stinger missiles transferred to Ukraine in support of the international effort to counter Russian aggression. This is a new-start. FY 2020 was the last fiscal year Stinger Mods.received funding. This is an emergency budget requirement.","22-15_IR_Ukraine_Replacment_Transfer_Fund_Tranche_1.pdf"
"Procurement","","","","2005","2005","03","Guided Missiles and Equipment","","Ground Based Air Defense
","370.378","22","24","370,378","Funds are required for the procurement of replacement Stinger missiles transferred to Ukraine in support of the international effort to counter Russian aggression. This is a new start. FY 2005 was the last year Stinger missiles were procured. This is an emergency budget requirement.","22-15_IR_Ukraine_Replacment_Transfer_Fund_Tranche_1.pdf"
"Operation and Maintenance","","","Navy","","","04","Administration and Servicewide Activities","","Ukraine Replacement Transfer Fund","1,483,463","22","23","1,483,463","Funds are available from the Operation and Maintenance, Defense-Wide, 22/23, appropriation to transfer to various appropriations for the replacement of defense articles from the stocks of the Department of Defense, and for reimbursement for defense services of the Department of Defense and military education and training provided to the Government of Ukraine. This is emergency budget funding.","22-15_IR_Ukraine_Replacment_Transfer_Fund_Tranche_1.pdf"
