"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2023","2023","01","Reserve Component Training and Support","","AIR FORCE INCREASES

fi","23","23","01","2,788","-","23-08_IR_Innovative_Readiness_Training.pdf"
"Operation and Maintenance","","","Air Force","","","04","Administration and Servicewide Activities","","DEFENSE-WIDE DECREASE
","23","23","04","55,829","This action transfers funds from the Operation and Maintenance, Defense- Wide, 23/23, appropriation to various appropriations to execute the Department’s Civil Military Program. The funds will finance costs associated with the Reserve Components’ Active Duty for Training (ADT), travel and applicable statutory allowances, and will provide support and services to eligible organizations and activities outside the Department of Defense pursuant to section 2012 of Title 10, United States Code.","23-08_IR_Innovative_Readiness_Training.pdf"
