"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"RDTE","","","","2023","2023","","","0603118A","ARMY INCREASES
","23","24","03","060","F lids aré-réaligned within'the: Research, Developiient, Test:and Evaluation Army,:23/24,,. appropriation from Programm: Elemient (PE) 0603118A- (Solder ‘Lethality z Advanced Technology):1 ‘to: PE 06031164 (Lethality. Advanced Technology) for the proper execution of:an‘FY 2023 ‘congressional :i increase ° for: Hypersonic Weapon’ Development Software: This action does:not change the } purpose ‘for: which the: funds were appropriated. This‘is:a: cofigréssional: ‘special interest item.","23-63_IR_August_2023.pdf"
"RDTE","","","","2023","2023","","","0602203F","ARMY DECREASES
","0","18","154,639","154,639","Furids-are'réalignéd ‘within the Research, Development, Test and-Evaluation-Army, 23/24, appropriation. from Program Element (PE):06031:18A (Solder. Lethality: Advanced Technology) to PE 0603116: (Lethality: ‘Advanced Technology): ‘for the-proper execution: éf an FY 2023: congressional i ‘increase. for Hypersonic Weapon Development’Software.. ‘This action;doés not: change ‘the purpose. for;which'the funds:were:appropriated.. ‘This is a: corigtessional. special : interest ‘item:","23-63_IR_August_2023.pdf"
