"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Missile Procurement","","","","2022","2039","02","_Other Missiles","","Approved (Signature and Date)","477,429","22","24","213,839","Funds are required for the following efforts: © $+56.500 million to increase the production rate of High Mobility Artillery Rocket Systems","22-39_IR_Ukraine_Replacement_Transfer_7.pdf"
"Operation and Maintenance","","","","2022","2039","01","Operating Forces","","Small Arms and Weapons
","83,950","22","22","158","Funds are required for the reimbursement of defense services (field logistics and operational costs) provided to Ukraine in support of the international effort to counter Russian aggression. This is a congressional special interest item. This is an emergency budget requirement.","22-39_IR_Ukraine_Replacement_Transfer_7.pdf"
"Operation and Maintenance","","","","2022","2039","02","Mobilization","","Yes
Component Serial Number","265,043","22","22","265,043","Funds are required for the following efforts:","22-39_IR_Ukraine_Replacement_Transfer_7.pdf"
"Operation and Maintenance","","","","","","04","Administration and Servicewide Activities","","Ukraine Replacement Transfer Fund
","826,422","22","23","826,422","Funds are available from the Operation and Maintenance, Defense-Wide, 22/23, appropriation for the replacement of defense articles from the stocks of the Department of Defense and for reimbursement for defense services of the Department of Defense and military education and training provided to the","22-39_IR_Ukraine_Replacement_Transfer_7.pdf"
