"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"RDTE","","","","","","04","Advanced Component Development & Prototypes","0604858F","AIR FORCE INCREASE
","22","23","04","060","Funds are required for the rapid demonstration and field resupply of small unit autonomous unmanned aircraft systems (UAS) using Agility Prime program capabilities. This action does not change the purpose for which the funds were originally appropriated. This is a congressional special interest item.","23-15_IR_January_2023.pdf"
"RDTE","","","Air Force","2023","2015","04","Advanced Component Development & Prototypes","","DEFENSE-WIDE INCREASE
","22","23","04","030","Funds are required to conduct Intelligence Capabilities and Innovation activities involving prototyping and capabilities demonstrations conducted through use of broad agency announcements. Efforts necessary to evaluate technologies, representative modes, or to prototype systems in a high fidelity and realistic operating environment are executed from budget activity 04. This action does not change the purpose for which the funds were originally appropriated. This is a congressional special interest item.","23-15_IR_January_2023.pdf"
"RDTE","","","","2022","2022","03","Advanced Technology Development","0603211F","AIR FORCE DECREASE
","22","23","03","060","Funds are available to execute an FY 2022 congressional add provided for small unit autonomous UAS resupply. This is a congressional special interest item.","23-15_IR_January_2023.pdf"
"RDTE","","","Air Force","2022","2022","06","Management Support","","DEFENSE-WIDE DECREASE
","22","23","06","030","Funds are available to conduct prototyping and capabilities demonstrations through use of broad agency announcements in support of execution of an FY 2022 congressional add for Intelligence Capabilities and Innovation activities. This is a congressional special interest item.","23-15_IR_January_2023.pdf"
