"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2025","2042","","","","ARMY INCREASES
","25","25","84,701","01","Funds are required for reimbursement of repair services, supplies, equipment, transportation costs, and training provided to Taiwan or identified and notified to Congress through this reprogramming action for provision to Taiwan in support of the international effort to deter conflict in the Indo-Pacific region. This is a congressional special interest item. This is an emergency budget requirement.","25-42_IR_Taiwan_Replacement_Fund_Tranche_3.pdf"
"","","","","2025","2042","","","","","25","25","04","1","Funds are required for the reimbursement of defense services required to prepare various","25-42_IR_Taiwan_Replacement_Fund_Tranche_3.pdf"
"Operation and Maintenance","","","","","","","","","","42,194","25","25","2,194","Funds are required for the reimbursement of transportation services and for the procurement of replacement of ballistic protective armor and clothing identified and notified to Congress through this reprogramming action for provision to Taiwan in support of the international effort to deter conflict in the","25-42_IR_Taiwan_Replacement_Fund_Tranche_3.pdf"
"Operation and Maintenance","","","Defense-Wide","","","","","","","710,659","399,739","24","25","Funds are available from the Operation and Maintenance, Defense-Wide, 24/25, appropriation","25-42_IR_Taiwan_Replacement_Fund_Tranche_3.pdf"
