"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Procurement","","","","2025","2025","01","Fleet Ballistic Missile SHIPS","","COLUMBIA Class Submarine Advance Procurement (CY)","3,976,526","25","29","3,976,526","-","25-14_IR_NSBDF_2.pdf"
"Procurement","","","Navy","2025","2014","01","Fleet ballistic missile ships","","COLUMBIA Class Submarine Advance Procurement (CY)","3,976,526","25","29","3,976,526","Transfers funds from the Shipbuilding and Conversion, Navy 25/29, appropriation into the National Sea-Based Deterrence Fund 25/29 as required by subsection (d) of § 2218a of title 10, United States Code which states “There shall be deposited in the Fund all funds appropriated to the Department of Defense for construction (including design of vessels), purchase, alteration, and conversion of national sea- based deterrence vessels.”","25-14_IR_NSBDF_2.pdf"
