"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Operation and Maintenance","","","","2025","2009","","","","Approved (Signature and Date)","148,697","25","25","47,034","Funds are required for the refurbishment and depot level overhauls of Close-in Weapon Systems to restore readiness as a result of usage in support of DoD’s response to the situation in Israel. This action does not change the purpose for which the funds were originally appropriated. This is a congressional special interest item. This is an emergency budget requirement.","25-09_IR_Israel_Security_Replacement_Transfer_Fund_Tranche_4.pdf"
"","","","","","","","","","","173,633","173,633","4,400,000","2,517,533","Funds are available from division A of Israel Security Supplemental Appropriations Act, 2024, division A of Public Law 118-50, appropriated to the Department of Defense to respond to the situation in Israel. The Department will execute this transfer using the general transfer authority pursuant to section 8005 of division A of Public Law 118-47, the Department of Defense Appropriations Act, 2024, and section | 1001 of Public Law 118-31, the National Defense Authorization Act for Fiscal Year (FY) 2024.","25-09_IR_Israel_Security_Replacement_Transfer_Fund_Tranche_4.pdf"
