"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","","","","","","AIR FORCE INCREASES
","24","24","5,301,973","5,301","-","24-29_IR_IRT-3_signed_20240509.pdf"
"Operation and Maintenance","","","Air Force","","","","","","","24","24","76,956","3","This action transfers funds from the Operation and Maintenance, Defense-Wide, 24/24 | appropriation’s Civil Military Program to various Reserve Component personnel appropriations to execute","24-29_IR_IRT-3_signed_20240509.pdf"
