"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Procurement","","","","2024","2054","01","Tracked combat vehicles","","ARMY INCREASE
","24","26","01","392,099","Funds are required for the procurement of Armored Multi Purpose Vehicles as the current","24-54_IR_Ukraine_Replacement_Transfer_Fund_Tranche_24.pdf"
"Operation and Maintenance","","","","2024","2024","04","Administration and Servicewide Activities","","DEFENSE-WIDE DECREASE
","23","24","04","1,500,000","Funds are available from the Operation and Maintenance, Defense-Wide, 23/24, appropriation for replacement of defense articles from the stocks of the Department of Defense and reimbursement for defense services from the Department of Defense, which have been provided to the Government of Ukraine under Presidential Drawdown authority. This is emergency budget funding.","24-54_IR_Ukraine_Replacement_Transfer_Fund_Tranche_24.pdf"
"Operation and Maintenance","","","Defense-Wide","2024","2054","01","Operating Forces","","Armored Multi Purpose Vehicle (AMPV)","162,036","24","24","559","Funds are required for the reimbursement of transportation services provided to Ukraine in support of the international effort to counter Russian aggression. This is a congressional special interest item. This is an emergency budget requirement.","24-54_IR_Ukraine_Replacement_Transfer_Fund_Tranche_24.pdf"
"Operation and Maintenance","","","","2024","2054","01","Operating Forces","","DEFENSE-WIDE INCREASE
","24","24","01","9,974,719","Funds are required for the reimbursement of transportation services provided to Ukraine in support of the international effort to counter Russian aggression. This is a congressional special interest item. This is an emergency budget requirement.","24-54_IR_Ukraine_Replacement_Transfer_Fund_Tranche_24.pdf"
"Operation and Maintenance","","","","","","04","Administration and Servicewide Activities","","Ukraine Replacement Transfer Fund
","167,501","23","24","167,501","Funds are available from the Operation and Maintenance, Defense-Wide, 23/24, appropriation for replacement of defense articles from the stocks of the Department of Defense and reimbursement for","24-54_IR_Ukraine_Replacement_Transfer_Fund_Tranche_24.pdf"
