"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"RDTE","","","","","","07","Operational System Development","0605117F","","17","18","07","1,507","Funds are required to properly align the congressional mark up for execution in accordance with Public Law 115-31, the DoD Appropriations Act. 2017. This is a MIP project. This is a base budget requirement.","17-25_IR_August_2017_Request.pdf"
"Operation and Maintenance","","","Air Force","2017","2017","04","Administration and Servicewide Activities ,","","Defense Security Cooperation Agency (DSCA)","34,000","17","17","34,000","Funds are required to ensure proper execution of FY 2017 expenses. In the DoD.","17-25_IR_August_2017_Request.pdf"
"RDTE","","","","","","07","Operational System Development","0305020F","","17","18","16,907","07","Funds are available due to the misalignment of congressional add in Public Law 115-31. the | DoD Appropriations Act..2017. Funding is properly executed in PE 0305020F, Combatant Command (CCMD) Intelligence Information Technology ($1.5 million) and PE 0605117F. Foreign Material Acquisition and Exploitation ($15.4 million). This is base budget funding.","17-25_IR_August_2017_Request.pdf"
"Operation and Maintenance","","","Air Force","2017","2025","04","Administration and Servicewide Activities","","Defense Security Cooperation Agency (DSCA)","17","18","3","04","Funds are available because civilian salaries and other operating expenses for DSCA Headquarters are funded more appropriately from DSCA’s 1-year appropriation. This is base budget funding.","17-25_IR_August_2017_Request.pdf"
"","","","","","","01","Reserve Component Training and Support","","","17","17","01","8.201","-","17-25_IR_August_2017_Request.pdf"
"","","","Army","2017","2017","01","Reserve Component Training and Support","","","17","17","01","1,749,596","-","17-25_IR_August_2017_Request.pdf"
"Operation and Maintenance","","","Army","","","","","","","17","17","198.575","198,575","This action transfers funds from the Operation and Maintenance, Defense-Wide, 17/17.","17-25_IR_August_2017_Request.pdf"
