"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2023","2023","","","","Navy INCREASE
","73,128","141","5","3","Funds are transferred from the Other Procurement, Navy, 23/25, ‘appropriation for proper execution of an FY 2023 congressional add for the Modernized Personnel Transfer Systems congressional add in FY 2023. The Modernized Personnel Transfer Systems are prototypes not ready for direct ‘procurement and require front end development effort to mature and refine the design(s), including ‘installations for experimentation and demonstration purposes, to enable the system to be ready for product jadaptation and procurement by the various ship building and ship modernization programs of record (both manned and unmanned) with minimal risk. This effort will further mature and develop prototypes of ‘systems capable of rapid and agile adoption into multiple programs of record in accordance with","23-52_IR_June_2023_Request_signed_20230725.pdf"
"","","","","2023","2023","","","0708610F","TE ea ACTION -
","230","93","23","23","Funds are transferred from the Other Procurement, Air Force (OPAF), 23/25, appropriation for proper execution of an FY 2023 congressional increase for Weapons of Mass Destruction (WMD) Threat Reduction- Handheld Trace Level Chemical Detection Devices as intended. Funds are transferred from","23-52_IR_June_2023_Request_signed_20230725.pdf"
"","","","","2022","2022","","","","","04","060","33","82","Funds are transferred from the Other Procurement, Navy, 22/25, appropriation to the RDT&E, (Navy, 22/23, appropriation for the proper execution of an FY 2022 congressional add for Modernized Personnel Transfer Systems. The Modernized Personnel Transfer Systems are prototypes not ready for direct procurement and require front end development effort to mature and refine the design(s), including ‘installations for experimentation and demonstration purposes, to enable the system to be ready for product |!adaptation and procurement by the various ship building and ship modernization programs of record (both manned and unmanned) with minimal risk. This effort will further mature and develop prototypes of systems capable of rapid and agile adoption into multiple programs of record in accordance with congressional intent. This is a congressional special interest item.","23-52_IR_June_2023_Request_signed_20230725.pdf"
"Procurement","","","","2022","2022","","","","NAVY DECREASE
","5","5","5","83,545","Funds are transferred from the from the Other Procurement, Navy, 22/25, appropriation to the | |IRDT&E, Navy, 22/23, appropriation for the proper execution of an FY 2022 congressional adds for Modernized Personnel Transfer Systems. The Modernized Personnel Transfer Systems are prototypes not ready for direct procurement and require front end development effort to mature and refine the design(s), ‘including installations for experimentation and demonstration purposes, to enable the system to be ready for product adaptation and procurement by the various ship building and ship modernization programs of record (both manned and unmanned) with minimal risk. This effort will further mature and develop prototypes of systems capable of rapid and agile adoption into multiple programs of record in accordance with congressional intent. This is a congressional special interest item.","23-52_IR_June_2023_Request_signed_20230725.pdf"
