"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2025","2013","","","","Common Ground Equipment
","4,332,441","24,235","04","25,657","Funds are required for the reimbursement of transportation services, replacement of body armor, and reimbursement of miscellaneous repair parts and supplies related to CBRNE gear, weapons, communications equipment, and other equipment components provided to Ukraine or identified and notified to Congress through this reprogramming action for provision to the Government of Ukraine in support of the international effort to counter Russian aggression. This is a congressional special interest item. This is an emergency budget requirement.","25-13_IR_Ukraine_Replacement_Transfer_Fund_Tranche_28.pdf"
"Operation and Maintenance","","","","2025","2013","","","","Pyrotechnic and Demolition
","272,358","25","25","90,852","Funds are required for the reimbursement of equipment ordered from supply system stocks to be provided to Ukraine or identified and notified to Congress through this reprogramming action for","25-13_IR_Ukraine_Replacement_Transfer_Fund_Tranche_28.pdf"
"Operation and Maintenance","","","","2025","2013","","","","Congress through this reprogramming action for provision to the Government of Ukraine in support of the","490,558","25","25","60,455","Funds are required for the reimbursement of transportation services identified and notified to : Congress through this reprogramming action for provision to the Government of Ukraine in support of the international effort to counter Russian aggression. This is a congressional special interest item. This is an emergency budget requirement.","25-13_IR_Ukraine_Replacement_Transfer_Fund_Tranche_28.pdf"
"Procurement","","","","2025","2013","","","","Ordnance Bult Spee

Congress through this reprogramming action for provision to the Government of Ukraine in support of the","0.1","4,332","4,332","4","Funds are for the reimbursement of transportation services and procurement of replacement of light tactical all-terrain vehicles (LTATV) MRZR Alpha , Diesel, 4 seat identified and notified to Congress through this reprogramming action for provision to the Government of Ukraine in support of the international effort to counter Russian aggression. This is a congressional special interest item. This is an emergency budget requirement.","25-13_IR_Ukraine_Replacement_Transfer_Fund_Tranche_28.pdf"
"Operation and Maintenance","","","","","","","","","","5,105,020","24","25","5,105,020","Funds are available from the Operation and Maintenance, Defense-Wide, 24/25, appropriation for replacement of defense articles from the stocks of the Department of Defense and reimbursement for defense services from the Department of Defense, which have been provided to the Government of Ukraine or identified and notified to Congress through this reprogramming action for provision to the Government of, Ukraine under Presidential Drawdown Authority. This is emergency budget funding.","25-13_IR_Ukraine_Replacement_Transfer_Fund_Tranche_28.pdf"
