"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Operation and Maintenance","","","","2018","2020","01","Operating Forces","","Congressional Action App roved by Sec Def
ee Ee ee
","81,670","18","18","81,670","Funds are required for-the following efforts: © $+28.7 million to sustain operations of a deployed MQ-1C Gray Eagle Unmanned Aerial System (UAS). This is an OCO budget.requirement.","18-20_IR_ISR.pdf"
"Operation and Maintenance","","","","","","01","Operating Forces","","","64,200","18","18","64,200","Funds are required for the following efforts: ° $+31.0 million to sustain a COCO Airborne ISR (AISR) aircraft with sensors and processing, exploitation and dissemination in support of aCCMD. This is an OCO budget requirement. $+32.0 million to provide one COCO Tactical Unmanned Aerial Systems (TUAS) detachment each for two different CCMDs. This is a MIP project. This is an OCO budget requirement. $+1.2 million to support five Tailored Signals Intelligence (SIGINT) Support Packages (TSSP) for","18-20_IR_ISR.pdf"
"Operation and Maintenance","","","Navy","2018","2020","01","Opetating Forces _","","Yes
","6,500","18","18","6,500","Funds are to sustain deployed COCO MQ-9 operations. This is an OCO budget requirement.","18-20_IR_ISR.pdf"
"Operation and Maintenance","","","","2018","2018","04","Administration and Servicewide Activities","","PART I","301,527","18","18","301,527","Funds are available for transfer under section 9017 of the DoD Appropriations Act, 2018, | provided additional funds to improve the intelligence, surveillance, and reconnaissance capabilities of the | DoD. This is Title IX OCO budget funding.","18-20_IR_ISR.pdf"
"Procurement","","","Defense-Wide","","","02","Modification of Aircraft","","Global Air-Traffic Management modifications on a Quick Reaction Capability Medium Altitude","8.088","18","20","5,188","Funds will be used for the procurement and installation of Mission Essential Package and Global Air-Traffic Management modifications on a Quick Reaction Capability Medium Altitude Reconnaissance and Surveillance System (MARSS) aircraft in order to be able to deploy the platform and | help execute the MARSS SIGINT and FMV mission as directed under the SECDEF's Global Force","18-20_IR_ISR.pdf"
"Procurement","","","","2018","2020","01","Major Equipment","","Program Base Reflecting Program Previously Reprogramming Action Revised Program","123,640","18","20","123,640","Funds equipment required in order to improve ISR architecture resiliency and intelligence and | | other data dissemination with ina CCMD. This is a MIP project. This is an OCO budget requirement.","18-20_IR_ISR.pdf"
"Operation and Maintenance","","","","","","04","Administration and Servicewide Activities","","","141,228","18","18","141,228","Funds are available for transfer under section 9017 of the DoD Appropriations Act, 2018, | provided additional funds to improve the intelligence, surveillance, and reconnaissance capabilities of the | DoD. This is Title IX OCO budget funding.","18-20_IR_ISR.pdf"
