"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Operation and Maintenance","","","","2023","2041","01","Operating Forces","","Approved (Signature and Date)","142,110","142,110","23","23","Funds are required in the below Budget Line Items (BLIs) for proper execution on the correct line to respond to the situation in Ukraine and for related expenses. Funds are realigned from BLI 1A1A (Mission and Other Flight Operations) and BLI 1B1B (Mission and Other Ship). This is a congressional Special interest item. This is an emergency budget requirement.","23-41_IR_April_Ukraine_Realignment_20230515.pdf"
"Operation and Maintenance","","","","2023","2023","01","Operating Forces","","PART II","142,110","23","23","142,110","Funds are available for realignment from BLI 1A1A (Mission and Other Flight Operations) and BLI 1B1B (Mission and Other Ship) to BLI 1C6C (Combat Support Forces), 1B2B (Ship Operational Support and Training), 1C5C (Op Meteorology & Oceanography), 1C1C (Combat Communications and Electronic Warfare), and 1B5B (Ship Depot Operations Support) for proper execution on the correct line to respond to the situation in Ukraine and for related expenses. This is a congressional special interest item. This is emergency budget funding.","23-41_IR_April_Ukraine_Realignment_20230515.pdf"
"Operation and Maintenance","","","Navy","2023","2041","01","Operating Forces","","NAVY INCREASES
","23","23","01","59,767,447","Funds are required in the below BLIs for proper execution on the correct line to respond to the situation in Ukraine and for related expenses. Funds are realigned from BLI 1A1A (Mission and Other Flight Operations). This is a congressional special interest item. This is an emergency budget requirement.","23-41_IR_April_Ukraine_Realignment_20230515.pdf"
"Operation and Maintenance","","","","","","01","Operating Forces","","NAVY DECREASE
","23","23","01","59,767,447","Funds are available for realignment from BLI 1A1A (Mission and Other Flight Operations) to 1C1C (Combat Communications and Electronic Warfare), 1C5C (Op Meteorology & Oceanography), 1C6C (Combat Support Forces), and BSIT (Enterprise Information Technology) for proper execution on the correct line to respond to the situation in Ukraine and for related expenses. This is a congressional special interest item. This is emergency budget funding.","23-41_IR_April_Ukraine_Realignment_20230515.pdf"
