"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Procurement","","","","2022","2043","","","","Guided MLRS Rocket (GMLRS)","751,096","22","24","462,006","Funds are required for the procurement of replacement Javelin missile systems transferred to Ukraine in support of the international effort to counter Russian aggression. This is a congressional special interest item. This is an emergency budget requirement.","22-43_IR_Ukraine_Replacement_Tranche_8_signed_20220916.pdf"
"Procurement","","","","2022","2043","02","Procurement Ammunition, Marine Corps","","Direct Support Munitions
","41,209","22","24","41,209","Funds are required for the procurement of replacement direct support munitions transferred to Ukraine in support of the international effort to counter Russian aggression. This is a congressional special interest item. This is an emergency budget requirement.","22-43_IR_Ukraine_Replacement_Tranche_8_signed_20220916.pdf"
"Operation and Maintenance","","","","","","04","Administration and Servicewide Activities","","Ukraine Replacement Transfer Fund
","938.305","22","23","938,305","Funds are available from the Operation and Maintenance, Defense-Wide, 22/23, appropriation for the replacement of defense articles from the stocks of the Department of Defense and for reimbursement for defense services of the Department of Defense and military education and training provided to the Government of Ukraine or to foreign countries that have provided support to Ukraine at the request of the United States. This is emergency budget funding.","22-43_IR_Ukraine_Replacement_Tranche_8_signed_20220916.pdf"
