"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Operation and Maintenance","","","","","","","","","","427","184","8","415","-","15-18_IR_Military_Readiness_Transfer.pdf"
"","","","Army","2015","2015","","","","","375,712","15","15","313,571",": Funds are available’ from section:9018 ‘of Title IX.OCO; of division.C.of.Public Law f 13-235, | the, DoD: Appropriations.. Act, 2015. ‘The-section-includes $1:0 billion in Title Ex funds to be:transferred to: | the: ‘Operation. and maintenance:accounts’and be'divided ‘proportionately: among the Services and the: Natioiial: | Guard: and. ‘Reserve: components: ‘This: area shall. be.used: only: to: improve military: readiness, including","15-18_IR_Military_Readiness_Transfer.pdf"
