"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"RDTE","","","","2007","2007","","","","DEFENSE-WIDE INCREASES
","07","07","441,081","483,167","This action.transfers: funding: ‘for the-Alternative Futures: at. the’ ‘Range. Complex Level for the Southwest United States‘ fromthe Research; Development, Test, and L ; Defense- Wide, 07/08, , appropriation for: ‘proper: execution: “This‘is: a: congressional: special } interest item: a","07-42_IR_August_2007_Actions.pdf"
"RDTE","","","","2007","2007","","","0603004A","ARMY DECREASES
","4","6.28","07","08","This action.transfers:$6.28 million to the.Research, Development; Test, and. Evaluation;","07-42_IR_August_2007_Actions.pdf"
