"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2023","2069","02","Applied Research,","0602123N","NAVY INCREASES
","23","24","02","060","Funds are required for implementation of additional operational energy resilience, efficiencies, energy conservation and energy security activities related to Aircraft and Ships.","23-69_IR_Section_2912_2.pdf"
"Operation and Maintenance","","","Navy","","","04","Administrative and Service Wide Activities","","ARMY DECREASES
","22","23","857","04","As a result of operational energy cost savings realized, funds are available from Operation and Maintenance, Army National Guard, 22/23, for implementation of additional operational energy resilience, efficiencies, energy conservation and energy security requirements.","23-69_IR_Section_2912_2.pdf"
"Operation and Maintenance","","","Army","","","04","Administration and Service-Wide Activities","","NAVY DECREASE
","22","23","04","18,955","As a result of operational energy cost savings realized, funds are available from Operation and Maintenance, Navy, 22/23, for implementation of additional operational energy resilience, efficiencies, energy conservation and energy security requirements.","23-69_IR_Section_2912_2.pdf"
