"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Operation and Maintenance","","","","","","01","Operating Forces","","Next Generation Enterprise Service","62,000","19","19","7,000","Funds are required to provide engineering support and software licenses for the Department of the Navy’s Comply-to-Connect (C2C) pathfinder. C2C will harden workstations and servers by enhancing and.sustaining the baseline cybersecurity capabilities. This pathfinder identifies the services and products that will improve and maintain the defensive cybersecurity posture of the Navy Marine Corps Intranet (NMCI). This is a base budget requirement.","19-07_PA_Cybersecurity_Request.pdf"
"Operation and Maintenance","","","","2019","2007","","","0303140K","Yes
","2,273","3","19","19","Funds are required for the following activities:","19-07_PA_Cybersecurity_Request.pdf"
