"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"RDTE","","","","2023","2076","","","0602203F","AIR FORCE INCREASES
","23","24","02","060","Funds are transferred to from the Other Procurement, Air Force (OPAF), 23/25, appropriation to the Research, Development, Test, and Evaluation (RDT&E), Air Force appropriation for proper execution of Decision Making - Performance Evaluation Program (DM-PREP). The funding is required because the DM-PREP effort includes development of a proof of principle for assessing systems supporting Nuclear Command and Control (NC2) conferencing and development and testing of instrumentation to perform operational evaluations of conferencing systems. This action does not change the purpose for which the funds were originally appropriated.","23-76_IR_September_2023.pdf"
"","","","","2023","2023","03","Electronics and Telecommunications Equip","0101361F","AIR FORCE DECREASES
","23","25","03","100,891","Funds are available in the OPAF, 23/25, appropriation for transfer to the RDT&E, Air Force, 23/24, appropriation for the proper execution of Decision Making - Performance Evaluation Program (DM- PREP) in Program Element (PE) 0101361F (Worldwide Joint Strategic Communications). This action does not change the purpose for which the funds were originally appropriated.","23-76_IR_September_2023.pdf"
