"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Operation and Maintenance","","","","2019","2027","04","Administration and Servicewide Activities","","ARMY INCREASE
","19","19","04","1","Funds are required to support a non-traditional intelligence capability in support of a COCOM. This is a MIP project. This is an OCO budget requirement.","19-27_IR_ISR_Transfer.pdf"
"Operation and Maintenance","","","Army","","","01","Op erating Forces","","NAVY INCREASE
","19","19","01","46,057,511","Funds are required to provide a contractor-owned, contractor-opetated (COCO) manned ISR capability in support of a COCOM to address theater deficiencies.in ISR endurance, persistence, and sensor capabilities. This is a MIP project. This is an OCO budget requirement.","19-27_IR_ISR_Transfer.pdf"
"Operation and Maintenance","","","Navy","","","01","Operating Forces","","","15,835","19","19","15,835","Funds are required for the following efforts:","19-27_IR_ISR_Transfer.pdf"
"Operation and Maintenance","","","Air Force","2019","2027","01","Operating. Forces","","DEFENSE-WIDE INCREASES
","19","19","01","8,974,504","Funds are required for the following efforts:","19-27_IR_ISR_Transfer.pdf"
"Operation and Maintenance","","","","2019","2019","04","Administration and. Servicewide Activities","","DEFENSE-WIDE DECREASE","19","19","04","115","Funds are available for transfer under section 9018 of Title IX OCO of division A of Public Law 115-245, the DoD Appropriations Act, 2019, provided additional funds to improve the intelligence, surveillance, and reconnaissance capabilities of the DoD. This is Title IX OCO budget funding.","19-27_IR_ISR_Transfer.pdf"
"","","","Defense-Wide","","","","","","AIR FORCE INCREASE
","19","21","03","29,872","Funds are required to procure equipment to providé enhanced full motion video relay support to a COCOM. This.is an OCO budget requiremenit.","19-27_IR_ISR_Transfer.pdf"
"","","","Air Force","2019","2027","02","Special Operations Command","","Yes","19","21","02","102,199","Funds will procure an expanded capability exploitation analysis center with all associated equipment. This isa MIP project: This.is an OCO budget requirement.","19-27_IR_ISR_Transfer.pdf"
"Operation and Maintenance","","","","","","04","Administration and Servicewide Activities","","DEFENSE-WIDE DECREASE
","19","19","04","115","Furids are available for transfer under sections 9002 and 9018 of Title IX OCO of division A of Public Law 115-245, the DoD Appropriations Act, 2019, provided additional funds to improve the","19-27_IR_ISR_Transfer.pdf"
