"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"RDTE","","","","2023","2023","","","","AIR FORCE INCREASE","23","24","13,884","07","-","23-56_IR_Classified_06.pdf"
"Procurement","","","Air Force","2022","2022","","","","AIR FORCE DECREASE
","415","3","2","2","The details’for'this-action aré classified.","23-56_IR_Classified_06.pdf"
"","","","","2021","2021","","","","AIR FORCE INCREASE
","21","23","05","500,465","‘The‘details for-this action:are:classified:. ‘This'is:a base buidget:requirement::","23-56_IR_Classified_06.pdf"
"","","","Air Force","","","","","","","21","23","04","141","The details:for this:action:até Classified, ‘This is a’base budgét'réquirement.","23-56_IR_Classified_06.pdf"
