"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Missile Procurement","","","","2023","2023","05","Other Support","","AIR FORCE INCREASE
","23","25","05","202","The details for this action are classified.","24-13_IR_Classified_1_signed_20240212.pdf"
"RDTE","","","Air Force","","","07","Operational Systems Development","","AIR FORCE DECREASE
","23","24","07","999","The details for this action are classified.","24-13_IR_Classified_1_signed_20240212.pdf"
