"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2011","2007","","","0604280N","","80,500","060","428","0",". Funds are.required in support: of continued Joint.Tactical Radio System (J TRS): |Handheld, Manipack: nd Small. Foim:Fit (HMS) development: efforts:. The complexity of concuitent: hardware’ands software development, waveform: ‘porting; Mobile User:Objective System waveforth:","11-07_PA_December_2010_Request.pdf"
"","","","","","","","","","","123,500","80,500","120","411","Funds:are.available due'to a: delay:i in Milestone: C. for the:Precision: Guidatice ‘Kit (PGK) progre am, originally. ‘planned. for:October.2010; now: planned: for November:2012.","11-07_PA_December_2010_Request.pdf"
