"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"RDTE","","","","2025","2025","07","Operational system development","0605278F","AIR FORCE INCREASE
","25","26","07","060","Funds are required to be realigned within the Research, Development, Test, and Evaluation,","25-53_IR_Septemer_2025.pdf"
"RDTE","","","Air Force","2025","2053","07","Operational system development","0401132F","AIR FORCE DECREASE
","25","26","07","040","Funds are available to be realigned within the. Research, Development, Test, and Evaluation,","25-53_IR_Septemer_2025.pdf"
