"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Operation and Maintenance","","","","2023","2071","04","Administrative and Servicewide Activities","","Ukraine Replacement Transfer Fund

Approved (Signature and Date)","22","23","04","141","Funds provided are transferred back to the Operations and Maintenance, Defense Wide, 22/23, appropriation. This is a congressional special interest item. This is emergency budget funding.","23-71_IR_September_Ukraine_Tranche_Return.pdf"
"Operation and Maintenance","","","","2022","2022","04","Administrative and Servicewide Activities","","Ukraine Replacement Transfer Fund","22","23","04","3,500,000","Funds provided are transferred back to the Operation and Maintenance, Defense Wide, 22/23, appropriation. This is a congressional special interest item. This is emergency budget funding.","23-71_IR_September_Ukraine_Tranche_Return.pdf"
"Operation and Maintenance","","","","2022","2022","04","Administrative and Servicewide Activities","","Ukraine Replacement Transfer Fund","22","23","04","9,050,000","Funds provided are transferred back to the Operation and Maintenance, Defense Wide, 22/23, appropriation. This is a congressional special interest item. This is emergency budget funding.","23-71_IR_September_Ukraine_Tranche_Return.pdf"
"Operation and Maintenance","","","","2023","2023","04","Administrative and Servicewide Activities","","Ukraine Replacement Transfer Fund","22","23","04","9,050,000","Funds provided are transferred back to the Operation and Maintenance, Defense Wide, 22/23, appropriation. This is a congressional special interest item. This is emergency budget funding.","23-71_IR_September_Ukraine_Tranche_Return.pdf"
