"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"RDTE","","","","2026","2026","04","Advanced Component Development and Prototypes","0604121A","ARMY INCREASE
","24","25","04","060","Funds are required to accelerate the Army’s Synthetic Training Environment (STE) to encompass a holistic approach incorporating the live, virtual, constructive, and gaming environments as one complete training capability. The funds will deliver an interim, integrated simulation training environment to support a Corps Iterative Testing Event in the second quarter of FY 2026. The full STE capability will enable training of units across the full range of Military Operations in multiple domains (land, maritime, air, space, and cyberspace) and dimensions (Physical, Information, Human).","25-10_PA_March_2025_signed_20250408.pdf"
"","","","Army","2025","2010","03","Other support equipment","","ARMY DECREASE
","24","26","03","230,197","Funds are early to need due to technical integration challenges for the Reconfigurable Virtual Collective Training and the Soldier Virtual Training capabilities. The technical solutions are expected by the third quarter of FY 2025 and will inform future procurement actions. Funds are available for higher priority","25-10_PA_March_2025_signed_20250408.pdf"
