"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","","","","","","","6,000","10","11","76,000","‘Funds are-available;due:to the termination:of the Manned Ground: Vehicle: Funds: ‘can | be:used for: higher priority items with no: impact. to program.","11-13_PA_March_2011_Request.pdf"
"","","","Army","2011","2013","","","0207133F","","10","12","05","880","-Funds‘are:available due‘to KG-135. Auxiliary: Power Unit (APU) Oil Cooler: modifications. yielded much:lower overall. cost.: These aré Overséas' Contingency: Operation (OCO); funds.","11-13_PA_March_2011_Request.pdf"
