"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2022","2014","","","","Unclassified REPROGRAMMING ACTION - INTERNAL Page Loft
","554,800","22","26","554,800","Transfers funds from the Shipbuilding and Conversion, Navy. 22/26, appropriation into the","22-14_IR_NSBDF.pdf"
"","","","","","","","","","Approyed (Signature and-Date)","554,800","554,800","1,812,200","1,812,200","-","22-14_IR_NSBDF.pdf"
