"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2023","2001","03","Electronics and Telecommunications Equip","","AIR FORCE INCREASE
","22","24","03","25,844","Funds are required to purchase deployable, transportable Sensitive Compartmented Information Facilities (SCIFs) to deploy and operate Space Force’s Tactical Intelligence, Surveillance, and Reconnaissance (JSR) Operations Cell and Deployable Intelligence Support Cell in the USCENTCOM area of responsibility. The unit’s current temporary SCIF is a tent-based solution, which is inadequate for sustaining long duration personnel operations; sustaining operational and fully functional ISR; and sustaining information technology/communications systems. This is a MIP project. This is a new start.","23-01_PA_MIP_October_2022_signed_20221110.pdf"
"","","","","","","05","Modification of Inservice Aircraft","","AIR FORCE DECREASE
","22","24","05","9","Funds are available as they are excess to need due to the cancellation of the Gorgon Stare program. The Department procured the replacement program, and there are no further requirements for funding and no major impacts to the program. This is a MIP project. This is a congressional special","23-01_PA_MIP_October_2022_signed_20221110.pdf"
