"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"RDTE","","","","2024","2024","","","0603680F","AIR FORCE INCREASE
","24","25","03","060","Funds are realigned within the Research, Development, Test, and Evaluation, Air Force, 24/25, appropriation to Program Element (PE) 0603680F (Manufacturing Technology Program) from PE 0604183F (Hypersonics Prototyping - Hypersonics Attack Cruise Missile) for proper execution of a FY 2024 congressional increase to accelerate air-breathing hypersonic manufacturing all up round (AUR) maturation. This action does not change the purpose for which the funds were originally appropriated. This is a congressional special interest item.","25-23_IR_January_2025.pdf"
"RDTE","","","Air Force","2025","2023","","","0604183F","AIR FORCE DECREASE
","24","25","04","060","Funds are Gunn Sek within the Research, Development, Test, and Evaluation, Air Force 24/25 appropriation from PE 0604183F (Hypersonics Prototyping - Hypersonics Attack Cruise Missile) to PE 0603680F (Manufacturing Technology Program) for proper execution of a FY 2024 congressional increase to accelerate air-breathing hypersonic manufacturing AUR maturation. This action does not change the qi purpose for which the funds were originally appropriated. This is a congressional special interest item.","25-23_IR_January_2025.pdf"
