"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Operation and Maintenance","","","","","","01","Operating Forces","","","1","20","20","1,100","Funds are required to provide enhanced maritime intelligence communications capability in a COCOM. This is a MIP project. This is an OCO budget requirement.","20-39_IR_ISR_Transfer.pdf"
"Operation and Maintenance","","","Navy","2020","2020","04","Administration and S","","DEFENSE-WIDE INCREASES
","20","20","04","3,900","Funds are. required for intelligence collection and targeting support for a COCOM. This is a: MIP project. This is an OCO budget requirement.","20-39_IR_ISR_Transfer.pdf"
"","","","Defense-Wide","","","04","Administration. + eanayt segs","","DEFENSE-WIDE DECREASE
","20","20","04","116","Funds are available for transfer under section 9018 of the DoD Appropriations Act, 2020, provided additional funds to improve the intelligence, surveillance, and reconnaissance capabilities of the DoD. This is Title DX OCO budget funding.","20-39_IR_ISR_Transfer.pdf"
